cid1_model,cid2_model,textmining
7279,123855,721
7279,43270,875
138328,4892,836
138328,3683,826
138328,7320,880
90314,52240,872
90314,10648,819
162171,150509,713
162171,21869,840
182000,94233,971
170668,164835,821
2258,61561,700
2258,71715,886
2258,114969,712
2258,132308,826
34638,156547,740
51974,134247,759
23728,17026,722
121948,89384,769
114072,54960,822
114072,172795,821
155950,166330,894
155950,100039,856
155950,32235,739
155950,77638,921
155950,75346,740
155950,60268,716
155950,156524,866
155950,154734,826
18743,112918,770
18743,11074,769
18743,6139,820
18743,17290,784
18743,62839,821
18743,154680,769
18743,14641,820
77529,58517,970
77529,32525,813
77529,42790,713
102989,120316,841
30807,67092,815
30807,98819,913
127472,83593,822
68045,144072,872
68045,13002,846
182097,98264,820
35740,178426,819
244,24723,715
49314,16608,751
49314,47726,848
23630,131876,822
162828,84619,960
162828,2027,808
162828,23554,890
162828,116698,843
162828,64729,742
162828,56255,757
162828,140627,742
162828,47823,819
95804,87988,820
59033,105500,820
65548,173198,712
65548,36135,862
65548,41489,920
65548,87116,923
65548,130322,711
65548,11871,708
65548,142365,819
65548,28359,760
65548,87034,850
120104,90819,702
83598,28597,734
107747,162675,816
153682,98285,742
153682,13775,821
134583,159597,762
138457,37617,870
164066,168985,762
117521,171702,763
134476,156876,819
68646,135190,822
105003,111409,740
99143,81686,739
9371,177516,821
123625,7138,739
54574,120476,710
54574,140848,710
177176,97361,822
14949,61145,820
160961,110230,743
160961,101115,820
107860,87756,747
152426,115741,741
119272,9176,718
49264,84096,728
446,136227,742
446,67485,820
180747,134465,740
91811,33049,821
6469,28276,743
178766,159854,822
5491,39502,734
105634,127960,769
52801,139722,819
26469,127002,962
60305,50342,742
65898,147519,821
21510,136636,754
21510,53081,722
130487,75279,741
171935,89279,822
37300,21740,815
37300,90440,713
37300,5968,733
62879,153254,883
62879,89730,947
74472,149351,744
104395,2705,821
104395,72890,788
104395,73547,793
136023,170064,739
77061,109467,770
77061,83538,708
77061,92412,710
43406,10059,743
24305,146446,822
129253,42011,819
54051,42952,739
146549,24563,740
69226,89644,741
62050,29858,801
62050,184536,832
150737,71002,739
128443,135382,734
47527,83214,929
47527,124359,912
115652,18764,820
112944,80235,727
126768,14920,821
95217,102717,713
47764,67049,821
47764,6221,764
122343,90602,843
29120,17039,766
54820,48015,733
54820,17346,881
54820,80718,703
54820,5197,886
54820,182028,877
54820,152817,721
54820,39766,803
54820,4842,761
54820,33391,738
54820,48226,970
54820,143276,740
54820,108272,971
54820,110320,733
54820,104093,773
54820,137064,741
114775,53205,788
114775,106728,741
114775,104694,730
114775,83155,915
102470,170881,764
102470,95128,732
13787,63072,853
13787,4439,822
13787,38140,728
13787,176035,742
13787,179109,956
13787,37645,717
13787,156362,836
13787,34975,790
13787,67576,762
104069,158586,743
141614,57548,743
72906,12006,718
72566,22897,765
21990,115400,765
21990,149325,710
103966,161170,739
34678,161170,729
47145,81043,781
69750,141917,820
135872,64136,753
70083,174102,728
48675,68709,843
117615,60853,745
117615,102638,873
80001,145495,842
80001,158267,758
125355,117194,809
126419,78508,883
126419,15085,843
126419,114826,850
126419,22145,884
54389,137574,739
59771,137399,737
162418,137399,730
16186,63102,820
95267,33913,932
164985,19113,912
23962,177927,766
26364,10513,877
123394,161148,912
123394,151625,978
166945,92778,750
11405,48640,816
85456,81806,734
85456,152421,764
85456,5242,820
178293,149372,711
66021,157762,860
66021,146430,746
66021,117888,916
19947,12367,742
19947,156995,729
19947,1083,821
49780,151592,715
49780,27557,758
153808,181478,762
105303,130533,739
55598,101811,747
64043,6277,762
64043,153226,741
149370,122974,958
149370,102454,708
149370,106302,746
133113,35221,734
120359,84305,770
45064,134504,710
45064,144072,714
45064,4508,710
45064,86869,710
45064,17476,710
121145,168088,762
35987,3607,769
35987,42283,741
36273,102882,725
71761,93715,767
19222,54416,743
59153,111409,730
75528,149250,821
25766,3607,767
25766,42283,740
75609,10704,761
136797,95221,732
149047,152597,765
171849,70770,733
18266,145382,820
118550,145435,728
77471,175148,823
29630,24689,736
173967,135156,739
36641,30335,920
36641,173823,873
36641,35114,767
142580,136858,729
19224,29752,737
43140,133984,742
43140,37683,731
9626,166177,729
33652,69962,977
136928,101127,765
145062,110828,812
46863,150126,742
14555,21213,732
67061,101091,821
183174,15363,747
119821,121700,729
119821,142472,822
155712,164466,762
119076,47585,716
119076,130256,947
32311,6747,725
139895,39202,742
120135,40264,715
120135,109860,751
120135,180465,712
47274,102375,766
93021,151250,776
93021,65779,845
93021,1371,715
148136,144503,711
99493,149622,711
130179,44969,844
130179,78719,848
149113,160474,876
149113,60966,817
167390,7037,711
167390,85142,715
167390,60966,733
76500,28202,912
162704,7732,765
174820,141099,859
76704,10276,743
13145,113655,762
153663,14828,749
83819,21869,859
30129,139960,729
30129,17694,766
30129,64944,712
30129,7245,755
76853,164465,767
39497,159687,743
42351,162394,810
145546,91825,716
142985,155105,751
142985,128662,751
48649,134722,756
48649,66147,700
48649,169321,731
48649,90617,748
48649,106728,731
48649,62004,742
48649,134558,735
48649,175304,783
48649,92358,735
48649,122608,970
48649,4093,716
48649,63339,703
48649,126020,777
48649,17021,776
48649,168953,925
48649,170616,704
48649,3911,756
48649,141380,730
33369,54508,764
33369,112678,820
33369,16155,820
33369,69168,733
57617,65640,912
57617,37683,912
60363,55017,805
24970,82594,752
126685,15772,821
69861,33080,739
80297,108783,920
142285,3444,821
15156,115500,912
15156,162203,912
97777,133984,733
130497,82861,710
89576,32425,910
110447,163222,718
30983,69830,876
119470,179870,738
87499,163040,760
119284,78606,728
53528,128691,821
75754,14404,742
38120,109574,738
38120,132945,940
38120,26215,731
38120,14017,821
38120,19375,822
38120,94454,790
38120,158267,880
165407,80602,739
90843,75630,769
90843,92422,821
69589,92612,799
165070,95354,815
165070,95231,767
97118,25167,716
97118,167802,877
131181,123033,741
137104,133404,744
127867,107947,879
127867,124868,735
126753,29036,740
126753,131571,852
182299,17266,744
78828,101594,748
59053,169709,822
170549,83537,822
96148,28320,822
64954,77984,725
28514,89825,727
182386,112602,809
182386,38973,882
78125,18010,734
123216,112918,739
123216,62839,724
123216,14641,740
109643,125309,822
51649,55990,821
75453,17026,783
75453,56807,849
75453,24723,797
75453,38185,737
75453,26135,741
69414,75343,739
52367,43388,787
52367,181410,710
39739,17997,739
30938,93715,767
26747,78606,820
182667,71217,970
74405,103861,877
38269,96561,744
38269,95354,739
38269,139302,735
38269,10338,726
136223,86210,716
141444,123791,921
141444,101211,710
15547,158601,743
1894,31061,877
109931,12766,710
109931,145737,715
109931,181337,715
109931,167544,749
96315,1598,780
96315,178025,848
70384,85019,770
70384,99593,733
70384,89232,761
32042,17032,751
136939,49350,739
141917,32738,735
141917,5287,822
141917,69750,820
141917,31831,934
103796,54001,718
14828,153663,749
150804,83795,820
175274,99586,847
406,163856,738
181174,21948,822
167317,88513,729
167317,65824,738
112791,163917,820
112791,127545,737
147673,946,849
143880,55255,740
172788,84674,754
156913,167033,758
141666,84674,843
106765,50408,886
106765,175629,703
106765,177295,796
106765,61442,744
110972,34572,749
34865,46124,754
168865,51589,712
168865,108202,711
89744,30418,713
89744,37238,713
89744,159287,740
116584,131604,762
64143,35255,843
183541,118337,842
27202,171519,730
27202,125043,822
109458,166330,713
109458,137173,715
152042,38486,745
39208,159197,751
120628,179735,874
120628,107687,838
120628,84762,794
41657,80777,739
96841,93823,726
144959,55475,877
144959,127120,715
122434,4809,892
9778,101024,765
77456,66509,821
66509,77456,821
133555,179024,879
133555,184417,741
59148,159707,760
59148,6053,760
26521,88877,764
138451,10646,743
138451,174058,749
43812,179589,841
43812,55348,768
113407,52776,741
37576,135085,756
95179,168003,743
95179,47699,761
135271,43282,769
135271,51539,977
135271,53018,845
172100,25473,737
61536,35075,958
61536,162086,718
61536,79766,734
61536,182042,744
3294,143584,839
3294,102058,788
107209,162274,764
120155,40483,766
120155,33299,765
133417,40214,737
133417,111395,939
133417,105355,861
133417,121723,844
133417,43646,741
153907,84945,763
153907,155203,763
153907,7481,821
9729,149250,747
170445,153800,740
99107,75912,769
99107,56879,843
99107,139812,843
99107,16746,756
9271,184110,761
98749,74013,752
169973,1598,756
150432,167399,710
159409,176336,885
159409,122588,716
159409,167427,730
159409,78483,792
98781,15687,748
177011,169215,762
177011,84408,760
24942,83718,713
54858,45845,733
54858,155850,732
35976,99132,850
35976,123592,850
101751,33186,782
40376,117601,925
40376,111967,743
148673,100486,736
48537,178462,839
48537,3520,924
18356,108782,753
18356,32494,750
50242,107390,718
70869,131713,738
70869,109353,762
70869,31073,883
70869,16810,736
137122,88399,776
137122,180446,763
84128,115604,736
47962,116517,744
106796,184326,914
169052,118559,845
169052,137205,898
10241,45692,745
92069,171976,847
92069,88399,886
92069,180446,888
9714,15889,740
104562,56420,731
104562,40353,741
104562,28983,764
104562,139428,725
25971,15889,836
25971,120911,784
25971,8301,752
25971,79154,715
25971,56420,918
25971,40848,717
25971,154321,767
177223,30701,738
16947,101887,820
57086,154987,873
57086,54900,767
73547,112849,753
73547,2705,725
73547,110538,819
73547,90508,776
73547,127103,825
73547,56420,834
73547,143923,798
73547,147757,775
73547,40848,808
73547,104064,753
73547,40353,930
73547,139428,761
73547,72890,930
73547,104395,793
147782,151963,718
147782,139428,717
147782,72890,882
147782,106262,717
62772,56420,971
107000,125828,773
107000,37485,710
107000,58509,850
107000,89573,726
107000,153391,723
107000,154321,713
12997,169321,710
12997,70997,843
12997,117982,761
12997,117704,761
12997,126020,840
176611,35827,768
168006,1126,846
39168,105106,739
39168,106261,763
39168,31647,763
39168,126937,763
39168,133751,763
39168,40625,763
167892,136094,877
10704,75609,761
10704,41592,762
10643,79892,715
98619,110457,737
139922,106607,819
139922,54897,745
19822,87517,820
113466,173097,732
28668,128788,756
7320,73479,880
7320,127142,880
7320,138328,880
100326,85063,822
56937,85569,788
56937,2617,819
56937,95336,764
9485,22721,822
9485,21162,767
9485,39577,750
9485,34564,879
9485,4742,761
9485,533,743
9485,118257,766
9485,158514,718
9485,49160,726
9485,29240,822
9485,139091,712
9485,176178,843
9485,55512,783
114060,158561,740
49155,17026,743
49155,169321,971
49155,70997,767
49155,78930,748
49155,30283,741
49155,134558,742
49155,117704,821
49155,89501,761
49155,4093,740
49155,126020,891
49155,147598,766
49155,153777,759
164816,10217,923
164816,2535,843
164816,69643,740
164816,121552,820
73659,168314,813
85028,163795,731
85028,102056,949
36314,73027,812
36314,160227,794
96471,62670,877
164687,34432,738
3041,85776,751
